filepath,extension,width,height,resolution,mode,aspect_ratio,brightness,contrast,sharpness,edge_density,entropy,noise,class
./data/sammassamexpression/expression_data/happy/ffhq_4015_face.jpg,.jpg,134,167,22378,RGB,0.802,134.7069443203146,47.810260312929955,135.8961420677,0.07288408258110644,7.488237380981445,105.88871769077929,happy
./data/sammassamexpression/expression_data/happy/image0039371_face.jpg,.jpg,151,201,30351,RGB,0.751,123.93255576422523,41.957772954084376,150.14140819096417,0.05663734308589503,7.234555721282959,103.31677628401114,happy
./data/sammassamexpression/expression_data/sad/image0019135_face.jpg,.jpg,143,179,25597,RGB,0.799,121.544204398953,59.9187751028528,200.08811153738273,0.09715982341680665,7.692016124725342,106.57784156260144,sad
./data/sammassamexpression/expression_data/happy/image0014715_face.jpg,.jpg,127,206,26162,RGB,0.617,155.54686186071402,63.673234792682706,331.33198578566066,0.11570216344316184,7.755855083465576,108.57281801533334,happy
./data/sammassamexpression/expression_data/neutral/ffhq_3757_face.jpg,.jpg,145,173,25085,RGB,0.838,101.90871038469204,54.135650402299646,158.97729204460066,0.07638030695634841,7.388741493225098,104.61575470315341,neutral
./data/sammassamexpression/expression_data/sad/image0006556_face.jpg,.jpg,159,187,29733,RGB,0.85,144.76685837285171,44.266604788944434,260.4348313822774,0.047287525644906334,7.11921501159668,106.2564990688964,sad
./data/sammassamexpression/expression_data/fear/image0022257_face.jpg,.jpg,173,210,36330,RGB,0.824,101.7540600055051,51.37301012375652,172.2732962766226,0.08375997797963115,7.579158782958984,104.04723424392566,fear
./data/sammassamexpression/expression_data/happy/ffhq_857_face.jpg,.jpg,143,199,28457,RGB,0.719,101.08890606880557,52.74896342301076,124.20490422330984,0.06163685560670485,7.5901031494140625,107.71158063262949,happy
./data/sammassamexpression/expression_data/happy/ffhq_849_face.jpg,.jpg,139,168,23352,RGB,0.827,128.50047105173005,54.91770057739641,134.26310752161743,0.08697327852004111,7.727422714233398,107.75760745856124,happy
./data/sammassamexpression/expression_data/neutral/ffhq_881_face.jpg,.jpg,145,172,24940,RGB,0.843,131.8551724137931,36.11076189183671,70.43962706807484,0.03352044907778669,6.792490005493164,102.15198771476386,neutral
./data/sammassamexpression/expression_data/happy/ffhq_2248_face.jpg,.jpg,144,186,26784,RGB,0.774,88.23428166069296,41.4145575799949,75.26847726717273,0.0480510752688172,7.1692728996276855,105.76905218378975,happy
./data/sammassamexpression/expression_data/happy/ffhq_2528_face.jpg,.jpg,130,167,21710,RGB,0.778,118.54845693228927,61.626249934136005,255.34157630598563,0.10248733302625518,7.683736801147461,104.08992815754586,happy
